"species","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"Primula latifola",2.167378,42.365514,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.258471,42.404865,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.189322,42.383394,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.25412,42.418385,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.256411,42.419361,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.261484,42.426287,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.118725,42.441675,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",2.130223,42.433998,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",7.261462,44.183662,5.12759399414062,6.8102707862854,28.926025390625,621.982666015625,18.4652500152588,-5.07849979400635,23.5437507629395,2.20295834541321,13.0627498626709,13.090916633606,-1.76579165458679,984,116,38,25.7893753051758,308,158,174,257
"Primula latifola",2.168385,42.362911,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.16121,42.375176,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",2.178448,42.774464,8.82796859741211,8.11931228637695,34.248950958252,568.548400878906,22.2162494659424,-1.49049997329712,23.7067489624023,6.09299993515015,16.18137550354,16.18137550354,2.5393750667572,995,106,54,16.7793445587158,285,206,206,247
"Primula latifola",7.279197,44.075146,5.82391691207886,6.84537506103516,29.7903461456299,599.394653320312,18.8530006408691,-4.12550020217896,22.9785003662109,3.08541679382324,13.4992504119873,13.5541248321533,-0.718291699886322,989,118,37,26.7838649749756,315,156,174,263
"Primula latifola",6.733642,44.897839,3.00659370422363,7.78289556503296,31.420654296875,629.241394042969,17.2542495727539,-7.51574993133545,24.7700004577637,0.219749912619591,10.9611253738403,11.0827503204346,-3.91633343696594,1256,135,63,20.0363445281982,386,230,233,349
"Primula latifola",6.400298,45.036098,0.964020848274231,7.13179159164429,29.3028125762939,628.709655761719,15.0377502441406,-9.30049991607666,24.338249206543,-4.52304172515869,8.82695865631104,9.11062526702881,-5.86779165267944,1431,158,74,20.2372169494629,442,263,265,408
"Primula latifola",2.151217,42.389078,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",6.516826,45.070823,0.983333349227905,6.89254188537598,28.7650680541992,623.2978515625,14.8979997634888,-9.06350040435791,23.9615001678467,-4.36516666412354,8.823166847229,9.13508319854736,-5.66187524795532,1397,153,72,20.4156837463379,430,255,257,398
"Primula latifola",2.239246,42.408389,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.248602,42.440322,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",2.16917,42.413258,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
"Primula latifola",6.958996,43.926346,10.9241561889648,8.38981246948242,33.7794914245605,603.404357910156,24.6515007019043,-0.185499995946884,24.8369998931885,7.67500019073486,18.630708694458,18.630708694458,4.04654169082642,852,117,29,31.5828227996826,294,130,130,231
"Primula latifola",7.091589,45.067434,6.28644800186157,8.25356292724609,33.3666000366211,620.036315917969,20.1202507019043,-4.61574983596802,24.7360000610352,3.0432915687561,14.1002502441406,14.1604995727539,-0.721458375453949,1080,111,62,14.9870128631592,308,222,225,270
"Primula latifola",7.160491,44.179566,4.44640636444092,7.1841459274292,30.0042629241943,621.176574707031,18.1455001831055,-5.79825019836426,23.9437503814697,1.63020849227905,12.3656253814697,12.4554586410522,-2.37362504005432,1040,119,41,25.1578254699707,328,169,183,280
"Primula latifola",2.144631,42.401517,4.74008321762085,9.17058372497559,34.9142761230469,620.7099609375,19.9927501678467,-6.27325010299683,26.2660007476807,1.92199993133545,12.8616666793823,12.8616666793823,-2.06020832061768,1251,137,62,21.6816596984863,390,230,230,332
"Primula latifola",7.161036,44.183203,4.44640636444092,7.1841459274292,30.0042629241943,621.176574707031,18.1455001831055,-5.79825019836426,23.9437503814697,1.63020849227905,12.3656253814697,12.4554586410522,-2.37362504005432,1040,119,41,25.1578254699707,328,169,183,280
"Primula latifola",6.715417,45.248397,1.46935415267944,7.13100004196167,29.7211685180664,617.824829101562,15.1319999694824,-8.86100006103516,23.9930000305176,-1.00370836257935,9.42570877075195,9.42570877075195,-5.32645845413208,1356,144,75,17.9965515136719,406,257,257,381
"Primula latifola",6.993199,44.787843,1.95420825481415,7.38666677474976,30.3590755462646,623.93994140625,15.9827499389648,-8.34825038909912,24.3310012817383,-0.612833321094513,9.8144588470459,10.0435419082642,-4.82950019836426,1176,126,55,21.5009422302246,360,205,213,325
"Primula latifola",7.042064,45.466413,-1.44742715358734,5.80077075958252,25.9382743835449,600.772521972656,11.3842496871948,-10.9794998168945,22.3637504577637,-6.26395845413208,6.48716640472412,6.48716640472412,-7.94687509536743,1271,133,71,17.8108940124512,373,240,240,347
"Primula latifola",7.034976,45.578655,-0.441822946071625,5.91235399246216,26.3729515075684,599.857482910156,12.3682498931885,-10.0500001907349,22.4182510375977,-5.36724996566772,7.42991638183594,7.42991638183594,-6.92070865631104,1413,147,81,17.5841331481934,417,267,267,386
"Primula latifola",6.28784,45.028451,1.30909371376038,7.46272897720337,30.3742656707764,628.975952148438,15.4937496185303,-9.07549953460693,24.5692481994629,-4.26666641235352,9.17395782470703,9.40295791625977,-5.60287475585938,1426,159,73,20.7324314117432,445,261,264,409
"Primula latifola",6.489977,45.086406,0.964020848274231,7.13179159164429,29.3028125762939,628.709655761719,15.0377502441406,-9.30049991607666,24.338249206543,-4.52304172515869,8.82695865631104,9.11062526702881,-5.86779165267944,1431,158,74,20.2372169494629,442,263,265,408
"Primula latifola",10.048538,46.061812,3.37011456489563,9.08981227874756,34.1186752319336,649.082946777344,17.3420009613037,-9.29975032806396,26.6417503356934,11.4555416107178,-4.35916662216187,11.4555416107178,-4.35916662216187,613,73,23,35.5207862854004,209,86,209,86
"Primula latifola",9.808369,46.50976,-1.0061354637146,7.58993768692017,32.0551490783691,588.938842773438,11.4087495803833,-12.2690000534058,23.6777496337891,6.25837469100952,-7.46062517166138,6.25837469100952,-7.74395847320557,1169,128,66,19.6237201690674,373,230,373,230
"Primula latifola",2.261936,42.424534,4.19348955154419,8.52185440063477,33.4600410461426,615.036987304688,19.0607509613037,-6.40799999237061,25.46875,1.51499998569489,12.2628335952759,12.2628335952759,-2.46308326721191,1320,146,62,23.1318073272705,417,235,235,357
