"","longitude","latitude","bio_1","bio_2","bio_3","bio_4","bio_5","bio_6","bio_7","bio_8","bio_9","bio_10","bio_11","bio_12","bio_13","bio_14","bio_15","bio_16","bio_17","bio_18","bio_19"
"background",-76.25,62.4166666666667,-8.24684906005859,4.72838544845581,11.7367887496948,1263.203125,12.7506246566772,-27.5362491607666,40.2868728637695,2.40083336830139,-23.8090629577637,6.9439582824707,-23.8090629577637,411,57,18,39.311279296875,157,56,126,56
"background",18.0833333333333,48.4166666666667,9.48060417175293,10.0123748779297,32.7871475219727,776.424865722656,26.1982498168945,-4.33925008773804,30.5375003814697,17.3629589080811,1.3565000295639,18.8762912750244,-0.244791701436043,577,71,30,26.7684097290039,193,94,191,109
"background",-112.916666666667,63.5833333333333,-7.61904144287109,7.38558340072632,14.805811882019,1568.1005859375,18.0615005493164,-31.8214988708496,49.882999420166,10.0959167480469,-19.2735004425049,11.8743333816528,-26.2652912139893,274,43,8,47.0241012573242,112,32,108,47
"background",-98.25,45.5833333333333,6.26638555526733,12.899188041687,27.312873840332,1246.76635742188,29.1340007781982,-18.0935001373291,47.2275009155273,18.6764163970947,-9.8680419921875,20.8924579620361,-9.8680419921875,499,84,11,59.0571403503418,220,35,212,35
"background",75.0833333333333,57.9166666666667,-0.425937533378601,10.8756246566772,22.7002334594727,1322.51806640625,23.8797492980957,-24.0300006866455,47.9097518920898,15.6044998168945,-14.6362504959106,15.6044998168945,-17.2895412445068,502,77,16,48.3692588806152,214,59,214,73
"background",29.5833333333333,29.9166666666667,20.2769794464111,13.876124382019,48.2803153991699,577.67529296875,34.0499992370605,5.30924987792969,28.7407493591309,14.3366670608521,26.8291244506836,26.8291244506836,12.9073753356934,37,10,0,91.3095550537109,26,0,0,21
"background",-114.916666666667,66.4166666666667,-10.1571254730225,8.07441711425781,16.1238422393799,1563.6728515625,16.464750289917,-33.6127510070801,50.0774993896484,8.02266693115234,-22.6439590454102,9.62166690826416,-28.0677089691162,250,42,9,52.252197265625,111,32,96,38
"background",-58.0833333333333,77.75,-24.0392398834229,5.15656280517578,14.2639560699463,1178.5703125,-5.33249998092651,-41.4835014343262,36.1510009765625,-10.518458366394,-28.4997081756592,-8.52341651916504,-37.1279602050781,242,38,8,43.479190826416,98,30,94,41
"background",-142.25,68.9166666666667,-12.3426351547241,8.84585380554199,19.8011226654053,1401.42138671875,12.9184999465942,-31.7549991607666,44.6735000610352,6.28529167175293,-16.7412509918213,6.28529167175293,-26.9178333282471,155,35,2,76.6883697509766,87,11,87,21
"background",-122.083333333333,44.9166666666667,6.90922927856445,10.4856252670288,40.0818977355957,566.059936523438,23.0097503662109,-3.15074992179871,26.1604995727539,1.03387498855591,13.9667081832886,14.3076667785645,0.587166666984558,2193,360,27,64.6797943115234,1031,148,162,963
"background",126.416666666667,60.0833333333333,-9.73502063751221,13.3732500076294,20.9773998260498,1928.51196289062,23.0620002746582,-40.6887512207031,63.7507514953613,13.3119163513184,-29.6120834350586,13.3119163513184,-33.7381248474121,395,70,9,69.1514129638672,201,34,201,38
"background",53.75,32.0833333333333,16.0550422668457,14.3753747940063,36.462818145752,928.487976074219,36.3952484130859,-3.02950000762939,39.424747467041,6.26149988174438,26.2214584350586,27.4467487335205,4.44762516021729,107,23,0,79.4551010131836,55,2,3,49
"background",-90.5833333333333,39.75,11.6317920684814,11.91712474823,29.9718952178955,1024.18212890625,31.1095008850098,-8.65149974822998,39.7610015869141,17.3912925720215,-1.71895825862885,23.705207824707,-1.71895825862885,945,114,37,28.5393257141113,305,141,275,141
"background",27.9166666666667,59.0833333333333,4.92331266403198,7.47266674041748,23.4782791137695,877.76171875,21.7864990234375,-10.0415000915527,31.8279991149902,14.413125038147,-1.38524997234344,15.8041667938232,-5.87062501907349,637,79,28,35.2189598083496,231,93,219,109
"background",10.0833333333333,54.5833333333333,8.49771213531494,5.84771251678467,27.2757759094238,583.755249023438,20.6176471710205,-0.821568608283997,21.4392166137695,15.5228757858276,10.6075162887573,15.7918300628662,1.7297385931015,831,97,45,20.4680480957031,257,168,252,190
"background",-85.9166666666667,71.75,-13.7020502090454,5.48232555389404,12.5755367279053,1403.14050292969,9.90161323547363,-33.6935501098633,43.5951614379883,3.38104844093323,-29.7202949523926,4.10537624359131,-29.7202949523926,197,38,3,70.9337921142578,98,13,87,13
"background",124.416666666667,54.75,-5.98930215835571,14.252103805542,24.503833770752,1683.98266601562,23.5627498626709,-34.5999984741211,58.1627502441406,14.2961254119873,-26.7356243133545,14.2961254119873,-26.7356243133545,527,128,5,97.9474945068359,326,16,326,16
"background",-87.9166666666667,36.9166666666667,14.1398754119873,12.0131254196167,33.7596702575684,875.924438476562,31.7049999237061,-3.87925004959106,35.5842514038086,13.8976249694824,20.3927917480469,24.6377506256104,2.89433336257935,1267,126,82,14.8534107208252,366,263,288,323
"background",-22.75,76.25,-13.5272874832153,5.79624176025391,18.7735500335693,983.363220214844,3.30098032951355,-27.5735301971436,30.8745098114014,-1.9024510383606,-9.54379081726074,-0.368137270212173,-23.7423210144043,252,33,12,27.614933013916,79,42,72,69
"background",44.75,27.0833333333333,25.1070423126221,15.3439588546753,39.3626594543457,908.767578125,44.5789985656738,5.59800004959106,38.9809989929199,19.6177082061768,35.4329147338867,35.4329147338867,13.3596668243408,193,50,0,94.2374038696289,102,1,1,67
"background",73.0833333333333,64.75,-5.33787488937378,8.6430835723877,17.7836647033691,1414.16540527344,21.0020008087158,-27.599250793457,48.6012496948242,11.4869165420532,-15.0279588699341,12.7967920303345,-22.1420841217041,499,71,20,42.6062469482422,193,65,192,76
"background",43.0833333333333,25.0833333333333,25.7261047363281,15.6352500915527,42.8636054992676,783.817016601562,43.671501159668,7.19474983215332,36.4767532348633,25.7559585571289,34.5444183349609,34.5444183349609,15.597541809082,144,40,0,96.6908111572266,77,1,1,41
"background",-122.416666666667,45.75,10.0919065475464,11.3143129348755,43.3631477355957,529.817138671875,25.7910003662109,-0.300999999046326,26.0920009613037,4.30275011062622,16.6073341369629,16.8084583282471,3.91479158401489,2024,316,32,59.845329284668,912,157,166,851
"background",-81.4166666666667,38.25,12.0215835571289,12.2347497940063,35.8687782287598,833.041442871094,29.0429992675781,-5.06675004959106,34.109748840332,20.1185417175293,1.47075009346008,22.0774154663086,1.47075009346008,1162,130,76,15.4760684967041,343,254,343,254
"background",-77.75,37.4166666666667,13.9475831985474,13.0749168395996,37.6484107971191,819.065795898438,31.32200050354,-3.40700006484985,34.7290000915527,23.3044586181641,3.63158321380615,23.9283332824707,3.63158321380615,1096,105,78,9.40015602111816,298,254,295,254
"background",48.5833333333333,54.4166666666667,4.38940620422363,8.70097923278809,21.7105197906494,1160.79602050781,24.873498916626,-15.2037506103516,40.0772476196289,18.2441253662109,-3.48654198646545,18.2441253662109,-10.1969585418701,446,60,20,34.6665000915527,166,71,166,79
"background",105.416666666667,32.5833333333333,14.3243227005005,7.80839586257935,27.9028244018555,744.419982910156,28.1264991760254,0.142250001430511,27.9842491149902,22.3132495880127,4.81658315658569,23.3225402832031,4.81658315658569,822,192,3,93.6538848876953,481,13,454,13
"background",-20.75,78.25,-13.5625,6.47499990463257,18.5530090332031,1113.26940917969,5.30000019073486,-29.6000003814697,34.9000015258789,-0.433333337306976,-8.80000019073486,1.38333332538605,-25.3333339691162,184,22,8,25.0855178833008,59,30,50,49
"background",-127.916666666667,68.9166666666667,-10.4553852081299,7.84806251525879,16.0286388397217,1551.85314941406,16.2922496795654,-32.6705017089844,48.9627532958984,7.30416679382324,-14.486457824707,9.47695827484131,-27.7186660766602,169,33,5,61.0559158325195,83,19,73,25
