"nestid"	"year"	"clutchno"	"hatchingsuc"	"chickno"
"989"	1998	1	0	0
"7557"	1998	1	1	4
"7557"	1998	2	1	4
"2905"	1998	1	0	0
"1115"	1998	1	1	4
"1115"	1998	2	1	3
"3703"	1998	1	1	2
"3703"	1998	2	1	3
"5984"	1998	1	1	1
"4297"	1998	1	0	0
"1580"	1998	1	1	1
"1580"	1998	2	0	0
"7185"	1998	1	1	3
"7185"	1998	2	1	5
"8780"	1998	1	1	1
"7835"	1998	1	1	4
"7835"	1998	2	1	4
"8429"	1998	1	1	1
"4341"	1998	1	1	4
"9897"	1998	1	1	2
"9897"	1998	2	1	4
"1436"	1998	1	1	5
"836"	1998	1	1	4
"836"	1998	2	1	1
"3992"	1999	1	0	0
"3992"	1999	2	0	0
"3992"	1999	3	0	0
"8747"	1999	1	0	0
"8747"	1999	2	1	2
"8747"	1999	3	1	1
"8164"	1999	1	1	1
"8164"	1999	2	0	0
"6027"	1999	1	0	0
"5467"	1999	1	0	0
"5467"	1999	2	0	0
"3723"	1999	1	1	3
"3723"	1999	2	1	3
"1623"	1999	1	1	1
"3541"	1999	1	1	3
"3541"	1999	2	1	1
"8312"	1999	1	1	3
"346"	1999	1	1	3
"346"	1999	2	1	3
"8665"	1999	1	1	4
"8665"	1999	2	1	1
"8665"	1999	3	1	2
"1415"	1999	1	1	2
"1415"	1999	2	0	0
"3837"	1999	1	1	1
"3837"	1999	2	1	1
"5262"	1999	1	1	4
"5262"	1999	2	1	4
"48"	1999	1	0	0
"3188"	1999	1	1	2
"9076"	1999	1	0	0
"277"	1999	1	1	2
"4911"	1999	1	1	3
"2507"	1999	1	1	5
"1980"	1999	1	1	3
"8971"	1999	1	0	0
"6605"	1999	1	1	2
"8150"	1999	1	1	1
"7061"	1999	1	1	1
"7061"	1999	2	1	3
"179"	1999	1	0	0
"5130"	1999	1	0	0
"5130"	1999	2	0	0
"7523"	1999	1	0	0
"6"	2000	1	1	6
"6"	2000	2	0	0
"8922"	2000	1	1	4
"8922"	2000	2	1	5
"4535"	2000	1	1	1
"4535"	2000	2	1	5
"4112"	2000	1	1	2
"4112"	2000	2	1	1
"2189"	2000	1	0	0
"9200"	2000	1	0	0
"9200"	2000	2	1	2
"9200"	2000	3	1	2
"3451"	2000	1	0	0
"2576"	2000	1	1	1
"2576"	2000	2	1	2
"2576"	2000	3	1	1
"9627"	2000	1	1	2
"9627"	2000	3	1	2
"2833"	2000	1	1	1
"3508"	2000	1	1	5
"3508"	2000	2	1	2
"1772"	2000	1	0	0
"9881"	2000	1	0	0
"9881"	2000	2	0	0
"9881"	2000	3	0	0
"704"	2000	1	1	3
"25"	2000	1	1	4
"25"	2000	2	1	1
"7002"	2000	1	1	4
"5649"	2000	1	0	0
"4275"	2000	1	1	5
"4275"	2000	2	1	4
"230"	2000	1	1	2
"230"	2000	2	0	0
"230"	2000	3	1	2
"1210"	2000	1	1	1
"1210"	2000	2	1	4
"1210"	2000	3	1	3
"8761"	2000	1	1	4
"6902"	2000	1	1	5
"5746"	2001	1	1	1
"143"	2001	1	1	4
"143"	2001	2	1	1
"8136"	2001	1	1	2
"8136"	2001	2	1	4
"5837"	2001	1	0	0
"5837"	2001	2	1	2
